Metabolite,KEGG ID,KEGG Pathways
2-Aminoadipic acid,cpd:C00956,map00300;map00310;map00311;map01100;map01110;map01120;map01210;map01230
Methylimidazoleacetic acid,cpd:C05828,map00340;map01100
Dimethylethanolamine,cpd:C04308,map00564;map01100;map01110
Palmitic acid,cpd:C00249,map00061;map00062;map00071;map00073;map01040;map01060;map01100;map01212
N-Methyl-D-Aspartic acid,cpd:C12269,
L-valine,cpd:C00183,map00280;map00290;map00311;map00460;map00770;map00966;map00970;map01060;map01063;map01100;map01110;map01210;map01230;map01240;map02010;map04974;map04978;map05230
3-phosphoglycerate,cpd:C00197,map00010;map00030;map00260;map00270;map00561;map00630;map00680;map00710;map00997;map00998;map01060;map01061;map01062;map01063;map01064;map01065;map01066;map01070;map01100;map01110;map01120;map01200;map01230;map01240;map04922;map05230
Glycolic acid,cpd:C00160,map00361;map00625;map00630;map01100;map01110;map01120;map01200
Glycerol 3-phosphate,cpd:C00093,map00561;map00564;map01100;map01110;map02010;map05231
Maltotriose,cpd:C01835,map02010;map04973
Sugar Phosphate,cpd:C00934,
Tricyclazole,cpd:C18492,
Homoserine,cpd:C00263,map00260;map00270;map00300;map00920;map01100;map01110;map01120;map01230
Trehalose,cpd:C00689,map00500;map01100;map01110;map02060;map04723
2-Ketobutyric acid,cpd:C00109,map00260;map00270;map00290;map00640;map00660;map01100;map01110;map01210;map01230
1- Kestose,cpd:C03661,
3-Phosphoglycerate,cpd:C00197,map00010;map00030;map00260;map00270;map00561;map00630;map00680;map00710;map00997;map00998;map01060;map01061;map01062;map01063;map01064;map01065;map01066;map01070;map01100;map01110;map01120;map01200;map01230;map01240;map04922;map05230
Guanosine,cpd:C00035,map00230;map01100;map01232;map04014;map04015;map04137;map04140;map04144
Pantothenic acid,cpd:C00864,map00410;map00770;map01100;map01110;map01240;map04977
Chlormequat,cpd:C18585,
Catechol,cpd:C00090,map00361;map00362;map00364;map00621;map00624;map00626;map00627;map01100;map01120;map01220
Pyroglutamic acid,cpd:C01879,map00480;map01100
Melibiose,cpd:C05400,map00052
Thymidine,cpd:C00214,map00240;map01100;map01232
Turanose,cpd:C19636,
Gallic acid,cpd:C01108,map00627;map01120;map07216
4-Hydroxybenzaldehyde,cpd:C00633,map00363;map00623;map00627;map01061;map01100;map01120
N(PI)-Methyl-L-Histidine,cpd:C01152,map00340;map01100
Phosphonoacetic acid,cpd:C05682,map00440;map01100;map01120
L-phenylalanine,cpd:C00079,map00360;map00400;map00460;map00470;map00940;map00960;map00966;map00970;map00996;map00997;map00999;map01060;map01061;map01063;map01064;map01070;map01100;map01110;map01210;map01230;map02010;map04974;map04978;map05230
Thymine,cpd:C00178,map00240;map01100;map01232
Citramalic acid,cpd:C00815,
O-phospho-L-serine,cpd:C01005,map00260;map00270;map00680;map00970;map00997;map00998;map01100;map01110;map01120;map01200;map01230
Oxalic acid,cpd:C00209,map00230;map00625;map00630;map01100;map01120
Cyanuric acid,cpd:C06554,map00791;map01100;map01120
Pyruvic acid,cpd:C00022,map00010;map00020;map00030;map00040;map00053;map00250;map00260;map00261;map00270;map00290;map00330;map00350;map00360;map00362;map00430;map00440;map00470;map00620;map00621;map00622;map00630;map00650;map00660;map00680;map00710;map00720;map00730;map00760;map00770;map00785;map00900;map00997;map00998;map01060;map01061;map01062;map01063;map01064;map01065;map01066;map01070;map01100;map01110;map01120;map01200;map01210;map01220;map01230;map01240;map01502;map02060;map04066;map04152;map04911;map04922;map04930;map04931;map05230;map05415
Nitrobenzene,cpd:C00870,map00627;map01120
Xanthoxylin,cpd:C10726,
4-hydroxy-3-methoxybenzyl alcohol,cpd:C06317,map00627;map01120
Phosphate Ion,cpd:C01268,map00740;map01100;map01110;map01240
1-hexadecanol,cpd:C00823,map00071
Vanillin,cpd:C00755,map00627;map00996;map01061;map01063;map01100;map01110;map01120;maps
N-Acetylneuraminic acid,cpd:C00270,map00520;map00541;map01100;map01250
Maleamic acid,cpd:C01596,map00760;map01100;map01120
Caprylic acid,cpd:C06423,map00061;map00785;map01060;map01066;map01100;map01240
Toluene,cpd:C00556,map00623;map01100;map01120;map01220
4-Pyridoxate,cpd:C00847,map00750;map01100;map01120
Glyceric acid,cpd:C00258,map00030;map00260;map00561;map00630;map00680;map01100;map01110;map01120;map01200
L-cysteine,cpd:C00097,map00260;map00270;map00311;map00332;map00430;map00460;map00470;map00480;map00730;map00770;map00920;map00970;map01060;map01100;map01110;map01120;map01200;map01230;map01240;map04122;map04216;map04974;map05230
Isophthalic acid,cpd:C14097,map00626;map01120
Myo-inositol,cpd:C00137,map00052;map00053;map00521;map00562;map01100;map01110;map01120;map01250;map02010;map04070
Pyrophosphate,cpd:C00013,map00190;map05012;map05022
5-Aminopentanamide,cpd:C00990,map00310;map01100;map01120
Arachidic acid,cpd:C06425,map01040
Betaine,cpd:C00318,map04714;map04976;map05415
Histamine,cpd:C00388,map00340;map01065;map01100;map01110;map04080;map04664;map04721;map04750;map04971;map04974;map05310;map07227
D-arabitol,cpd:C01904,map00040;map01100
Lauric acid,cpd:C02679,map00061;map00333;map01100;map01110
Urocortisol,cpd:C05472,map00140
Salicylic acid,cpd:C00805,map00621;map00624;map00626;map00996;map01053;map01061;map01070;map01100;map01110;map01120;map01220;map04075;map04976
1-Piperideine,cpd:C00450,map00310;map00960;map01060;map01064;map01100;map01110;map01120
L-Cysteic acid,cpd:C00506,map00270;map00430;map01100;map04080
5-Hydroxymethyluracil,cpd:C03088,
DL-Phenylalanine,cpd:C11341,
2'-Deoxycytidine 5'-Monophosphate,cpd:C00239,map00240;map01100;map01232
D-threitol,cpd:C16884,
4'-Hydroxyacetophenone,cpd:C10684,
D-mannose,cpd:C00096,map00051;map00053;map00510;map00520;map00541;map00571(G10614);map01100;map01110;map01240;map01250
D-xylose,cpd:C00181,map00040;map00520;map01100;map02010
N-Methyl-L-Glutamic acid,cpd:C01046,map00680;map01100;map01120
Oleic acid,cpd:C00712,map00061;map00073;map01040;map01060;map04212
L-glutamic acid,cpd:C00025,map00220;map00250;map00330;map00332;map00340;map00430;map00470;map00480;map00524;map00630;map00650;map00660;map00860;map00910;map00970;map00997;map00998;map01060;map01064;map01100;map01110;map01120;map01200;map01210;map01230;map01240;map02010;map02020;map04068;map04072;map04080;map04216;map04540;map04713;map04720;map04721;map04723;map04724;map04727;map04730;map04742;map04964;map04974;map05014;map05016;map05017;map05022;map05030;map05031;map05033;map05034;map05230
L-glutamine,cpd:C00064,map00220;map00230;map00240;map00250;map00470;map00630;map00750;map00910;map00970;map01060;map01100;map01110;map01120;map01230;map01232;map01240;map02010;map02020;map04724;map04727;map04964;map04974;map04978;map05230
UDP,cpd:C00015,map00240;map00908;map01100;map01232;map01240;map04080
Adenine,cpd:C00003,map00190;map00730;map00760;map00983;map01100;map01240;map04148;map04152;map04211;map04212;map04925;map04936;map04977;map05208
Phosphoenolpyruvate,cpd:C00074,map00010;map00020;map00400;map00440;map00620;map00680;map00710;map00720;map00996;map00998;map00999;map01060;map01061;map01062;map01063;map01070;map01100;map01110;map01120;map01200;map01230;map01240;map02060;map04922;map04964;map05230
D-Glucuronolactone,cpd:C02670,map00053;map01100
UDP-galactose,cpd:C00052,map00052;map00520;map00541;map00552(G10609);map01100;map01250
Urocanic acid,cpd:C00785,map00340;map01100
N-Acetyl-D-Tryptophan,cpd:C03137,
Taurine,cpd:C00245,map00120;map00430;map00920;map01100;map02010;map04080
Phosphoric acid,cpd:C00009,map00190;map00195;map02010;map02020;map02024;map04111;map04928;map04978;map05012;map05022
Ethanolamine,cpd:C00157,map00564;map00590;map00591;map00592;map01100;map01110;map04723;map05231
Citrulline,cpd:C00327,map00220;map01100;map01110;map01230
Methylmalonic acid,cpd:C02170,map00240;map00280;map00640;map01100
TRANS-ACONITATE,cpd:C02341,map00660;map01100
3-hydroxybutyric acid,cpd:C00188,map00260;map00261;map00290;map00470;map00860;map00970;map01060;map01100;map01110;map01120;map01230;map02010;map04974;map04978
Succinyl proline,cpd:C11711,map07217
Citric acid,cpd:C00158,map00020;map00250;map00630;map00720;map01053;map01060;map01061;map01062;map01063;map01064;map01065;map01066;map01070;map01100;map01110;map01120;map01200;map01210;map01230;map01240;map02020;map04742;map04922;map05230
DL-Ornithine,cpd:C07997,
Pimelic acid,cpd:C00666,map00300;map00470;map01100;map01110;map01120;map01230
Succinic semialdehyde,cpd:C00232,map00250;map00350;map00650;map00720;map00750;map00760;map01100;map01120;map01200;map02024
Malonic acid,cpd:C00383,map00061;map00240;map00410;map01100;map01212
N-ethylglycine,cpd:C11735,
Phenyl Acetic,cpd:C00544,map00130;map00350;map00643;map01100;map01120;map01240
Caprolactam,cpd:C02837,
3-Hydroxybutyric acid,cpd:C00188,map00260;map00261;map00290;map00470;map00860;map00970;map01060;map01100;map01110;map01120;map01230;map02010;map04974;map04978
L-threonine,cpd:C00188,map00260;map00261;map00290;map00470;map00860;map00970;map01060;map01100;map01110;map01120;map01230;map02010;map04974;map04978
Carbonate ion,cpd:C14514,
Diethanolamine,cpd:C06772,map00564
Torcitabine,cpd:C21554,
Carbonate Ion,cpd:C14514,
Nonanoic acid,cpd:C01037,map00780;map01100;map01240
Glyoxylic acid,cpd:C00048,map00230;map00232;map00260;map00330;map00625;map00630;map00660;map00680;map00720;map01100;map01110;map01120;map01200
Nootkatone,cpd:C17914,
Pentoxifylline,cpd:C07424,
Adenosine,cpd:C00002,map00190;map00195;map00230;map00908;map00998;map01100;map01110;map01232;map01240;map03070;map04020;map04066;map04080;map04142;map04148;map04217;map04611;map04621;map04714;map04721;map04742;map04750;map04911;map04917;map04924;map04930;map05012;map05022;map05133;map05410;map05415
5'-Deoxyadenosine,cpd:C05198,
Phthalic acid,cpd:C01606,map00624;map01100;map01120;map01220;map02010
Maltol,cpd:C11918,map00523;map01110
Furoic acid,cpd:C01546,map00365;map01100;map01120
N-methylethanolamine phosphate,cpd:C01210,map00564
Muconic acid,cpd:C02220,map00380;map01100
L-aspartic acid,cpd:C00049,map00220;map00250;map00260;map00261;map00270;map00300;map00340;map00410;map00460;map00470;map00710;map00760;map00770;map00970;map00997;map00998;map00999;map01060;map01064;map01070;map01100;map01110;map01120;map01200;map01210;map01230;map01240;map02010;map02020;map02030;map04080;map04974;map05230
D-galactose,cpd:C00052,map00052;map00520;map00541;map00552(G10609);map01100;map01250
Tris(2-butoxyethyl) phosphate,cpd:C14446,
2-hydroxyglutaric acid,cpd:C02630,map00650;map00660;map01100
Gluconic acid,cpd:C00198,map00030;map01100;map01110;map01120;map01200
2-Hydroxybutyric acid,cpd:C05984,map00640
Inosine,cpd:C00081,map00230;map01100;map01232
Chlorogenic acid,cpd:C00852,map00940;map00941;map00945;map01110
Hypoxanthine,cpd:C00262,map00230;map01100;map01232
Glutaric acid,cpd:C00026,map00020;map00040;map00053;map00220;map00250;map00300;map00310;map00340;map00365;map00430;map00470;map00630;map00650;map00660;map00720;map00785;map00997;map00998;map01060;map01061;map01062;map01063;map01064;map01065;map01066;map01070;map01100;map01110;map01120;map01200;map01210;map01230;map01240;map04066;map04727;map04922;map04964;map04976;map05230
Benzoic acid,cpd:C00108,map00380;map00400;map00405;map00621;map00627;map00996;map00997;map00998;map00999;map01060;map01061;map01063;map01070;map01100;map01110;map01120;map01220;map01230;map07110
16-Hydroxyhexadecanoic acid,cpd:C18218,map00073;map01100
Phytanic acid,cpd:C01607,
Uridine,cpd:C00015,map00240;map00908;map01100;map01232;map01240;map04080
4-Oxoproline,cpd:C01877,
DL-Alanine,cpd:C15311,
Beta-alanine,cpd:C00099,map00240;map00410;map00640;map00770;map01100;map01110;map01240;map04080;map04974
L-citrulline,cpd:C00327,map00220;map01100;map01110;map01230
Dehydroalanine,cpd:C02218,map00270;map01100
Glycylproline,cpd:C01632,
2-Oxoadipic acid,cpd:C00322,map00300;map00310;map00380;map00680;map00785;map01100;map01110;map01120;map01210;map01230;map01240
Biotin,cpd:C00120,map00780;map01100;map01240;map02010;map04977
Benzaldehyde,cpd:C00261,map00623;map00627;map01100;map01120;map01220
O-succinyl-L-homoserine,cpd:C01118,map00270;map00920;map01100;map01110;map01230
Guanine,cpd:C00242,map00230;map01100;map01232
Isoxazolin-5-one,cpd:C20891,
GDP-Glucose,cpd:C00394,map00500;map00520;map01100;map01250
2-Oxobutanoic acid,cpd:C00109,map00260;map00270;map00290;map00640;map00660;map01100;map01110;map01210;map01230
Methylguanine,cpd:C02230,
Nicotinamide,cpd:C00003,map00190;map00730;map00760;map00983;map01100;map01240;map04148;map04152;map04211;map04212;map04925;map04936;map04977;map05208
Ectoine,cpd:C06231,map00260;map01100;map01120
Tyrosol,cpd:C06044,map00350;map01100
Adipic acid,cpd:C00322,map00300;map00310;map00380;map00680;map00785;map01100;map01110;map01120;map01210;map01230;map01240
Crotonic acid,cpd:C01771,
Pipecolic acid,cpd:C00408,map00310;map00960;map01060;map01064;map01100;map01110;map01120
O-Acetyl-L-homoserine,cpd:C01077,map00270;map01100
2-Aminoisobutyric acid,cpd:C03665,
