,Metabolite,KEGG ID
254,5'-S-Methyl-5'-thioadenosine,Not Found
255,4-Acetamidobutanoic acid,Not Found
256,Myristyl sulfate,Not Found
257,DL-Carnitine,Not Found
258,4-hydroxyphenylpyruvic acid,Not Found
259,N-methylalanine,Not Found
260,Guanosine-5'-diphosphate (GDP),Not Found
261,Thymidine-5'-phosphate (dTMP),Not Found
262,Adenosine monophosphate (AMP),Not Found
263,Fenugreekine,Not Found
264,Amino-Sugars-C6,Not Found
265,DL-Tryptophan,Not Found
266,Potential Carbohydrate,Not Found
267,Sugars-Disaccharides,Not Found
268,N6-Methyllysine,Not Found
269,Sugars-Monosaccharides-Pentoses.1,Not Found
270,"2,2,6,6-Tetramethyl-4-piperidinol",Request Error
271,Dodecamethylcyclohexasiloxane,Not Found
272,N-epsilon-Acetyl-L-lysine,Not Found
273,Sugars-Monosaccharides-Hexoses.2,Not Found
274,2-phosphoglyceric acid,Not Found
275,Sugars-Hexoses-Phosphate.2,Not Found
276,Uridine 5'-diphospho-N-acetylglucosamine,Not Found
277,DL-allylglycine,Not Found
